image,style,item_gender,어울리는계절,적합한착용상황,핏평가,색깔,색감,분위기,멋있다,도시적이다,트렌디하다,세련되다,깔끔하다,화려하다,독특하다,무난하다,개방적이다,실용적이다,활동적이다,편안하다,발랄하다,여성적이다,남성적이다,부드럽다
T_00003_19_normcore_M.webp,normcore,남성,봄/가을,데이트,헐렁함,밝음,따듯함,가벼움,False,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False
T_00007_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00008_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,따듯함,무거움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00010_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,True,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True
T_00011_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T_00012_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,가벼움,False,False,True,True,True,False,False,False,False,True,True,True,False,False,False,False
T_00014_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00024_19_normcore_M.webp,normcore,남성,봄/가을,사교모임,적당함,밝음,따듯함,가벼움,False,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False
T_00026_19_normcore_M.webp,normcore,남성,여름,일상생활,타이트함,밝음,차가움,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00029_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,차가움,가벼움,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00032_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T_00033_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,차가움,무거움,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
T_00034_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False
T_00036_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,차가움,가벼움,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
T_00038_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
T_00039_19_normcore_M.webp,normcore,남성,겨울,레저스포츠,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
T_00043_19_normcore_M.webp,normcore,남성,여름,레저스포츠,적당함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False
T_00045_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
T_00046_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00047_19_normcore_M.webp,normcore,남성,겨울,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
T_00049_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
T_00050_19_normcore_M.webp,normcore,남성,겨울,일상생활,헐렁함,밝음,따듯함,무거움,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
T_00051_19_normcore_M.webp,normcore,남성,겨울,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
T_00052_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,가벼움,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
T_00055_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00057_19_normcore_M.webp,normcore,남성,봄/가을,레저스포츠,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
T_00062_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
T_00064_19_normcore_M.webp,normcore,남성,봄/가을,레저스포츠,적당함,밝음,따듯함,가벼움,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False
T_00065_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False
T_00067_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,어두움,차가움,가벼움,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False
T_00075_19_normcore_M.webp,normcore,남성,여름,여행/휴가,헐렁함,밝음,차가움,가벼움,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False
T_00077_19_normcore_M.webp,normcore,남성,여름,레저스포츠,헐렁함,어두움,차가움,가벼움,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
T_00079_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,차가움,무거움,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False
T_00080_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,어두움,따듯함,무거움,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
T_00084_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,따듯함,가벼움,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
T_00086_19_normcore_M.webp,normcore,남성,여름,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
T_00087_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,어두움,차가움,가벼움,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False
T_00092_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,어두움,따듯함,무거움,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
T_00097_19_normcore_M.webp,normcore,남성,봄/가을,레저스포츠,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
T_00098_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False
T_00099_19_normcore_M.webp,normcore,남성,봄/가을,데이트,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
T_00101_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False
T_00104_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
T_00105_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,헐렁함,어두움,차가움,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
T_00106_19_normcore_M.webp,normcore,남성,봄/가을,여행/휴가,적당함,어두움,따듯함,무거움,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True
T_00107_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
T_00108_19_normcore_M.webp,normcore,남성,봄/가을,데이트,적당함,밝음,따듯함,무거움,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
T_00109_19_normcore_M.webp,normcore,남성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
T_00110_19_normcore_M.webp,normcore,남성,여름,여행/휴가,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False
T_00112_19_normcore_M.webp,normcore,남성,여름,여행/휴가,적당함,어두움,따듯함,무거움,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
T_00117_19_normcore_M.webp,normcore,남성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True
