R_id,image,선호여부,스타일선호
66640,T_00003_19_normcore_M.webp,3.0,True
66684,T_00007_19_normcore_M.webp,2.0,False
23139,T_00008_19_normcore_M.webp,3.0,True
66843,T_00010_19_normcore_M.webp,3.0,True
52485,T_00011_19_normcore_M.webp,3.0,True
66817,T_00012_19_normcore_M.webp,3.0,True
66609,T_00014_19_normcore_M.webp,3.0,True
18315,T_00024_19_normcore_M.webp,2.0,False
66545,T_00026_19_normcore_M.webp,3.0,True
62082,T_00029_19_normcore_M.webp,2.0,False
67006,T_00032_19_normcore_M.webp,3.0,True
25042,T_00033_19_normcore_M.webp,2.0,False
66486,T_00034_19_normcore_M.webp,2.0,False
66783,T_00036_19_normcore_M.webp,3.0,True
66419,T_00038_19_normcore_M.webp,2.0,False
29869,T_00039_19_normcore_M.webp,3.0,True
33014,T_00043_19_normcore_M.webp,3.0,True
67063,T_00045_19_normcore_M.webp,1.0,False
66888,T_00046_19_normcore_M.webp,3.0,True
66684,T_00047_19_normcore_M.webp,3.0,True
67148,T_00049_19_normcore_M.webp,3.0,True
67468,T_00050_19_normcore_M.webp,1.0,False
45614,T_00051_19_normcore_M.webp,3.0,True
66268,T_00052_19_normcore_M.webp,3.0,True
67023,T_00055_19_normcore_M.webp,3.0,True
67212,T_00057_19_normcore_M.webp,2.0,False
67030,T_00062_19_normcore_M.webp,3.0,True
31323,T_00064_19_normcore_M.webp,3.0,True
67307,T_00065_19_normcore_M.webp,2.0,True
64249,T_00067_19_normcore_M.webp,3.0,True
10280,T_00075_19_normcore_M.webp,2.0,True
67015,T_00077_19_normcore_M.webp,4.0,False
67224,T_00079_19_normcore_M.webp,4.0,True
66710,T_00080_19_normcore_M.webp,3.0,True
67117,T_00084_19_normcore_M.webp,3.0,False
66989,T_00086_19_normcore_M.webp,3.0,True
3248,T_00087_19_normcore_M.webp,3.0,True
66550,T_00092_19_normcore_M.webp,3.0,True
64853,T_00097_19_normcore_M.webp,3.0,True
45614,T_00098_19_normcore_M.webp,3.0,True
66632,T_00099_19_normcore_M.webp,1.0,False
66830,T_00101_19_normcore_M.webp,3.0,True
66686,T_00104_19_normcore_M.webp,3.0,True
67019,T_00105_19_normcore_M.webp,2.0,False
18315,T_00106_19_normcore_M.webp,3.0,True
67307,T_00107_19_normcore_M.webp,1.0,False
52002,T_00108_19_normcore_M.webp,2.0,True
67468,T_00109_19_normcore_M.webp,2.0,False
25042,T_00110_19_normcore_M.webp,2.0,False
66888,T_00112_19_normcore_M.webp,3.0,True
66403,T_00117_19_normcore_M.webp,2.0,False
3686,T_00118_19_normcore_M.webp,3.0,True
66640,T_00119_19_normcore_M.webp,3.0,True
62433,T_00121_19_normcore_M.webp,2.0,False
63056,T_00122_19_normcore_M.webp,3.0,True
2065,T_00124_19_normcore_M.webp,3.0,True
66699,T_00126_19_normcore_M.webp,4.0,True
66835,T_00127_19_normcore_M.webp,3.0,True
16353,T_00131_19_normcore_M.webp,3.0,True
66984,T_00136_19_normcore_M.webp,2.0,False
66553,T_00138_19_normcore_M.webp,2.0,False
31268,T_00143_19_normcore_M.webp,3.0,True
33014,T_00144_19_normcore_M.webp,3.0,True
66656,T_00146_19_normcore_M.webp,4.0,True
67300,T_00152_19_normcore_M.webp,1.0,False
66935,T_00153_19_normcore_M.webp,2.0,False
67192,T_00160_19_normcore_M.webp,3.0,True
66487,T_00161_19_normcore_M.webp,4.0,True
67067,T_00163_19_normcore_M.webp,3.0,True
