image,style,item_gender,어울리는계절,적합한착용상황,핏평가,색깔,색감,분위기,멋있다,도시적이다,트렌디하다,세련되다,깔끔하다,화려하다,독특하다,무난하다,개방적이다,실용적이다,활동적이다,편안하다,발랄하다,여성적이다,남성적이다,부드럽다
T_00245_19_normcore_W.webp,normcore,여성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
T_00260_19_lounge_W.webp,lounge,여성,여름,데이트,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True
T_00265_19_lounge_W.webp,lounge,여성,여름,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
T_00269_19_lounge_W.webp,lounge,여성,봄/가을,출근,헐렁함,어두움,따듯함,무거움,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
T_00280_19_lounge_W.webp,lounge,여성,여름,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
T_00289_19_lounge_W.webp,lounge,여성,여름,일상생활,헐렁함,밝음,따듯함,가벼움,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
T_00291_19_normcore_W.webp,normcore,여성,여름,일상생활,헐렁함,어두움,따듯함,가벼움,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False,False
T_00294_19_normcore_W.webp,normcore,여성,여름,일상생활,헐렁함,어두움,차가움,무거움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00297_19_normcore_W.webp,normcore,여성,여름,일상생활,적당함,어두움,따듯함,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00298_19_lounge_W.webp,lounge,여성,여름,일상생활,타이트함,밝음,따듯함,가벼움,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
T_00299_19_normcore_W.webp,normcore,여성,여름,일상생활,적당함,어두움,차가움,가벼움,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False
T_00301_19_normcore_W.webp,normcore,여성,여름,일상생활,적당함,밝음,차가움,가벼움,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False
T_00303_19_normcore_W.webp,normcore,여성,봄/가을,일상생활,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
T_00304_19_normcore_W.webp,normcore,여성,봄/가을,데이트,적당함,밝음,따듯함,가벼움,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
T_00305_19_normcore_W.webp,normcore,여성,봄/가을,일상생활,헐렁함,어두움,차가움,무거움,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
