R_id,image,선호여부,스타일선호
66409,T_00245_19_normcore_W.webp,2.0,False
58049,T_00260_19_lounge_W.webp,2.0,False
66787,T_00265_19_lounge_W.webp,3.0,True
66619,T_00269_19_lounge_W.webp,1.0,False
29548,T_00280_19_lounge_W.webp,1.0,False
29548,T_00289_19_lounge_W.webp,1.0,False
29153,T_00291_19_normcore_W.webp,3.0,True
11977,T_00294_19_normcore_W.webp,2.0,False
66506,T_00297_19_normcore_W.webp,2.0,False
6627,T_00298_19_lounge_W.webp,3.0,True
61958,T_00299_19_normcore_W.webp,2.0,False
66785,T_00301_19_normcore_W.webp,3.0,True
64797,T_00303_19_normcore_W.webp,3.0,True
61215,T_00304_19_normcore_W.webp,2.0,False
29548,T_00305_19_normcore_W.webp,1.0,False
28695,T_00309_19_normcore_W.webp,3.0,True
66721,T_00311_19_normcore_W.webp,3.0,True
67480,T_00313_19_normcore_W.webp,4.0,True
65360,T_00316_19_normcore_W.webp,2.0,False
67480,T_00319_19_normcore_W.webp,3.0,True
64398,T_00320_19_normcore_W.webp,3.0,True
67480,T_00322_19_normcore_W.webp,3.0,True
27728,T_00326_19_normcore_W.webp,2.0,False
67446,T_00327_19_normcore_W.webp,3.0,True
67313,T_00329_19_normcore_W.webp,2.0,False
67446,T_00330_19_normcore_W.webp,3.0,True
67446,T_00332_19_normcore_W.webp,3.0,True
67446,T_00336_19_normcore_W.webp,3.0,True
60148,T_00337_19_normcore_W.webp,2.0,False
66568,T_00339_19_normcore_W.webp,3.0,True
65258,T_00344_19_lounge_W.webp,3.0,True
66788,T_00353_19_normcore_W.webp,3.0,True
65935,T_00354_19_normcore_W.webp,3.0,True
5966,T_00355_19_normcore_W.webp,3.0,True
65509,T_00356_19_normcore_W.webp,4.0,True
60404,T_00357_19_normcore_W.webp,4.0,True
67150,T_00358_19_normcore_W.webp,3.0,True
61234,T_00359_19_normcore_W.webp,2.0,False
66676,T_00360_19_normcore_W.webp,2.0,False
31988,T_00361_19_genderless_W.webp,2.0,False
66495,T_00362_19_lounge_W.webp,3.0,True
67150,T_00364_19_lounge_W.webp,3.0,True
66683,T_00365_19_normcore_W.webp,3.0,True
60435,T_00367_19_normcore_W.webp,1.0,False
63142,T_00369_19_normcore_W.webp,4.0,True
11977,T_00376_19_normcore_W.webp,2.0,False
66589,T_00378_19_normcore_W.webp,3.0,True
50180,T_00383_19_normcore_W.webp,2.0,False
60550,T_00388_19_normcore_W.webp,3.0,True
66506,T_00606_19_genderless_W.webp,2.0,False
7604,T_00609_19_lounge_W.webp,2.0,False
66793,T_00613_19_normcore_W.webp,3.0,True
17552,T_00617_19_genderless_W.webp,3.0,True
60550,T_00619_19_genderless_W.webp,3.0,True
66565,T_00623_19_genderless_W.webp,3.0,True
65514,T_00649_19_lounge_W.webp,2.0,False
60226,T_00651_19_lounge_W.webp,4.0,True
67327,T_00659_19_lounge_W.webp,2.0,False
64797,T_00685_19_normcore_W.webp,3.0,True
29981,T_00689_19_lounge_W.webp,3.0,True
60550,T_00692_19_genderless_W.webp,2.0,False
61374,T_00703_19_genderless_W.webp,1.0,False
66694,T_00709_19_normcore_W.webp,4.0,True
66953,T_00719_19_normcore_W.webp,3.0,True
67280,T_00744_19_normcore_W.webp,4.0,True
66558,T_00746_19_lounge_W.webp,4.0,True
61626,T_00752_19_normcore_W.webp,2.0,False
50570,T_00761_19_normcore_W.webp,3.0,True
63799,T_00763_19_normcore_W.webp,4.0,True
48985,T_00764_19_normcore_W.webp,4.0,True
61626,T_00767_19_lounge_W.webp,2.0,False
60743,T_00807_19_normcore_W.webp,3.0,True
66953,T_00808_19_lounge_W.webp,2.0,False
66494,T_00810_19_normcore_W.webp,2.0,False
58246,T_00812_19_normcore_W.webp,2.0,False
66953,T_00813_19_normcore_W.webp,4.0,True
66953,T_00814_19_normcore_W.webp,2.0,False
61438,T_00816_19_normcore_W.webp,3.0,True
61626,T_00818_19_normcore_W.webp,2.0,False
66748,T_00819_19_genderless_W.webp,3.0,True
65930,T_00820_19_normcore_W.webp,4.0,True
62976,T_00821_19_normcore_W.webp,3.0,True
15074,T_00831_19_genderless_W.webp,3.0,True
15074,T_00832_19_normcore_W.webp,3.0,True
65509,T_00833_19_normcore_W.webp,4.0,True
64797,T_00835_19_normcore_W.webp,4.0,True
67291,T_00836_19_normcore_W.webp,4.0,True
66380,T_00842_19_normcore_W.webp,3.0,True
62283,T_00847_19_normcore_W.webp,2.0,False
17492,T_00860_19_lounge_W.webp,2.0,False
60482,T_00862_19_normcore_W.webp,3.0,True
29845,T_00863_19_lounge_W.webp,3.0,True
63619,T_00864_19_normcore_W.webp,3.0,True
23097,T_00865_19_lounge_W.webp,3.0,True
21485,T_00867_19_lounge_W.webp,2.0,True
66561,T_00869_19_normcore_W.webp,4.0,True
26339,T_00870_19_normcore_W.webp,3.0,True
11908,T_00873_19_normcore_W.webp,3.0,True
66335,T_00874_19_normcore_W.webp,3.0,True
21485,T_00877_19_normcore_W.webp,3.0,True
62395,T_00884_19_normcore_W.webp,4.0,True
58259,T_00888_19_normcore_W.webp,2.0,False
21485,T_00891_19_normcore_W.webp,3.0,True
67058,T_00892_19_normcore_W.webp,4.0,True
67325,T_00894_19_normcore_W.webp,3.0,True
22470,T_00895_19_normcore_W.webp,3.0,True
57819,T_00897_19_normcore_W.webp,4.0,True
67325,T_00900_19_normcore_W.webp,4.0,True
65433,T_00901_19_normcore_W.webp,2.0,False
59607,T_00904_19_normcore_W.webp,2.0,False
23112,T_00906_19_normcore_W.webp,3.0,True
67325,T_00911_19_normcore_W.webp,3.0,True
67325,T_00912_19_normcore_W.webp,4.0,True
23182,T_00913_19_normcore_W.webp,2.0,False
66588,T_00914_19_normcore_W.webp,4.0,True
67481,T_00915_19_normcore_W.webp,4.0,True
23699,T_00917_19_normcore_W.webp,4.0,True
60404,T_00918_19_normcore_W.webp,3.0,True
64163,T_00919_19_normcore_W.webp,2.0,False
66763,T_00921_19_normcore_W.webp,3.0,True
66217,T_00923_19_normcore_W.webp,3.0,True
63619,T_00927_19_lounge_W.webp,3.0,True
61503,T_00929_19_normcore_W.webp,3.0,True
11842,T_00935_19_normcore_W.webp,4.0,True
67481,T_00944_19_normcore_W.webp,4.0,True
66806,T_00945_19_lounge_W.webp,4.0,True
14635,T_00949_19_normcore_W.webp,3.0,True
66596,T_00950_19_normcore_W.webp,3.0,False
67481,T_00951_19_normcore_W.webp,2.0,False
22470,T_00953_19_normcore_W.webp,3.0,True
63129,T_00955_19_lounge_W.webp,3.0,True
23980,T_00956_19_lounge_W.webp,2.0,False
49138,T_00962_19_normcore_W.webp,2.0,False
66897,T_00964_19_lounge_W.webp,2.0,False
65514,T_00967_19_lounge_W.webp,3.0,False
66683,T_00971_19_lounge_W.webp,2.0,False
66694,T_00974_19_normcore_W.webp,3.0,False
28695,T_00977_19_normcore_W.webp,1.0,False
61718,T_00979_19_normcore_W.webp,3.0,True
62454,T_00980_19_normcore_W.webp,4.0,True
55661,T_00981_19_normcore_W.webp,1.0,False
66040,T_00985_19_normcore_W.webp,2.0,False
62454,T_00987_19_normcore_W.webp,3.0,True
64003,T_00988_19_normcore_W.webp,3.0,True
66380,T_00989_19_normcore_W.webp,3.0,True
29548,T_01043_19_normcore_W.webp,1.0,False
66823,T_01063_19_lounge_W.webp,1.0,False
67280,T_01071_19_genderless_W.webp,3.0,False
61765,T_01072_19_lounge_W.webp,3.0,True
65166,T_01073_19_lounge_W.webp,3.0,True
29548,T_01089_19_genderless_W.webp,1.0,False
61145,T_01154_19_normcore_W.webp,3.0,True
66499,T_01156_19_normcore_W.webp,3.0,True
1258,T_01168_19_normcore_W.webp,3.0,True
66727,T_01171_19_normcore_W.webp,4.0,True
60797,T_01172_19_normcore_W.webp,2.0,False
29548,T_01176_19_normcore_W.webp,4.0,True
44153,T_01179_19_normcore_W.webp,3.0,True
62195,T_01333_19_normcore_W.webp,3.0,True
65239,T_01336_19_lounge_W.webp,4.0,True
66721,T_01339_19_normcore_W.webp,3.0,True
65239,T_01341_19_normcore_W.webp,2.0,False
30028,T_01342_19_normcore_W.webp,3.0,True
65239,T_01375_19_normcore_W.webp,4.0,True
64317,T_01405_19_normcore_W.webp,4.0,True
26924,T_01408_19_normcore_W.webp,3.0,True
60743,T_01422_19_lounge_W.webp,3.0,True
63286,T_01424_19_genderless_W.webp,3.0,True
30028,T_01426_19_normcore_W.webp,3.0,True
30317,T_01442_19_normcore_W.webp,3.0,True
67102,T_01443_19_lounge_W.webp,3.0,True
29455,T_01448_19_normcore_W.webp,2.0,False
65239,T_01450_19_normcore_W.webp,1.0,False
40446,T_01451_19_normcore_W.webp,2.0,False
60760,T_01648_19_normcore_W.webp,1.0,False
26924,T_01654_19_normcore_W.webp,3.0,True
67259,T_01655_19_normcore_W.webp,4.0,True
25786,T_01657_19_normcore_W.webp,1.0,False
66392,T_01659_19_normcore_W.webp,3.0,True
6627,T_01662_19_normcore_W.webp,3.0,True
11842,T_01663_19_normcore_W.webp,3.0,True
67259,T_01664_19_lounge_W.webp,4.0,True
12605,T_01665_19_normcore_W.webp,3.0,True
67259,T_01667_19_normcore_W.webp,3.0,True
65337,T_01668_19_lounge_W.webp,3.0,True
66368,T_01671_19_normcore_W.webp,4.0,True
67480,T_01672_19_normcore_W.webp,1.0,False
50120,T_01673_19_normcore_W.webp,3.0,False
63619,T_01674_19_normcore_W.webp,3.0,True
66761,T_01676_19_normcore_W.webp,2.0,False
66526,T_01677_19_normcore_W.webp,3.0,True
23980,T_01680_19_normcore_W.webp,3.0,True
58317,T_01681_19_normcore_W.webp,3.0,True
22470,T_01682_19_normcore_W.webp,4.0,True
1427,T_01683_19_normcore_W.webp,3.0,True
67480,T_01684_19_normcore_W.webp,1.0,False
30028,T_01685_19_genderless_W.webp,3.0,True
66416,T_01687_19_normcore_W.webp,3.0,True
62356,T_01689_19_normcore_W.webp,3.0,True
58317,T_01690_19_genderless_W.webp,3.0,False
67481,T_01695_19_normcore_W.webp,3.0,True
59607,T_01696_19_normcore_W.webp,3.0,True
66733,T_01698_19_genderless_W.webp,2.0,False
65935,T_01701_19_lounge_W.webp,2.0,False
67481,T_01707_19_lounge_W.webp,2.0,True
63230,T_01708_19_lounge_W.webp,4.0,True
67481,T_01712_19_genderless_W.webp,3.0,True
66525,T_01715_19_normcore_W.webp,3.0,True
63230,T_01718_19_normcore_W.webp,4.0,True
66683,T_01719_19_normcore_W.webp,3.0,True
63129,T_01721_19_normcore_W.webp,4.0,True
60291,T_01722_19_normcore_W.webp,3.0,True
54076,T_01727_19_lounge_W.webp,3.0,True
67481,T_01728_19_genderless_W.webp,4.0,True
66953,T_01729_19_normcore_W.webp,3.0,True
66953,T_01733_19_normcore_W.webp,3.0,True
65472,T_01742_19_normcore_W.webp,3.0,True
4902,T_01743_19_normcore_W.webp,3.0,True
15662,T_01748_19_lounge_W.webp,3.0,True
4902,T_01750_19_normcore_W.webp,3.0,True
64020,T_01764_19_normcore_W.webp,3.0,True
3097,T_01771_19_normcore_W.webp,4.0,True
4902,T_01772_19_normcore_W.webp,3.0,True
61626,T_01773_19_lounge_W.webp,3.0,True
66588,T_01774_19_normcore_W.webp,3.0,True
62454,T_01778_19_normcore_W.webp,2.0,True
62454,T_01779_19_normcore_W.webp,3.0,True
23079,T_01796_19_lounge_W.webp,4.0,True
7620,T_01799_19_lounge_W.webp,3.0,True
49950,T_01801_19_normcore_W.webp,1.0,False
66732,T_01802_19_genderless_W.webp,4.0,True
66683,T_01805_19_normcore_W.webp,3.0,True
62395,T_01812_19_normcore_W.webp,4.0,True
66349,T_01813_19_genderless_W.webp,3.0,True
25803,T_01822_19_lounge_W.webp,4.0,True
49974,T_01826_19_lounge_W.webp,3.0,True
65414,T_01909_19_genderless_W.webp,3.0,True
57062,T_01910_19_normcore_W.webp,3.0,True
66485,T_01911_19_lounge_W.webp,2.0,False
62454,T_01912_19_normcore_W.webp,3.0,True
60973,T_01913_19_normcore_W.webp,2.0,False
62454,T_01914_19_normcore_W.webp,4.0,True
66040,T_01917_19_normcore_W.webp,3.0,True
67485,T_01918_19_normcore_W.webp,2.0,False
65988,T_01919_19_normcore_W.webp,3.0,True
61626,T_01920_19_genderless_W.webp,3.0,True
67485,T_01922_19_genderless_W.webp,3.0,True
66693,T_01927_19_normcore_W.webp,4.0,True
66571,T_01931_19_normcore_W.webp,3.0,True
66565,T_01937_19_genderless_W.webp,2.0,False
64144,T_01939_19_lounge_W.webp,2.0,False
60372,T_01941_19_normcore_W.webp,4.0,True
30156,T_01945_19_normcore_W.webp,3.0,True
67485,T_01946_19_genderless_W.webp,2.0,False
67485,T_01957_19_lounge_W.webp,2.0,False
23193,T_01961_19_normcore_W.webp,4.0,True
50570,T_01962_19_lounge_W.webp,4.0,True
60550,T_01970_19_genderless_W.webp,4.0,True
66619,T_01971_19_normcore_W.webp,2.0,False
60550,T_01972_19_lounge_W.webp,4.0,True
60550,T_01988_19_lounge_W.webp,3.0,True
64699,T_01993_19_normcore_W.webp,4.0,True
66134,T_01997_19_normcore_W.webp,1.0,False
67486,T_02014_19_lounge_W.webp,2.0,False
66552,T_02015_19_lounge_W.webp,3.0,True
66867,T_02023_19_normcore_W.webp,3.0,True
67486,T_02024_19_normcore_W.webp,3.0,True
61765,T_02026_19_lounge_W.webp,3.0,True
67486,T_02027_19_normcore_W.webp,2.0,False
66381,T_02030_19_normcore_W.webp,3.0,True
24820,T_02041_19_normcore_W.webp,3.0,True
67486,T_02044_19_normcore_W.webp,2.0,False
30028,T_02049_19_normcore_W.webp,3.0,True
52925,T_02055_19_normcore_W.webp,4.0,True
66588,T_02056_19_lounge_W.webp,4.0,True
66970,T_02212_19_normcore_W.webp,3.0,True
66834,T_02214_19_normcore_W.webp,4.0,True
27728,T_02216_19_normcore_W.webp,2.0,False
66970,T_02220_19_normcore_W.webp,3.0,True
23079,T_02221_19_normcore_W.webp,3.0,True
61346,T_02222_19_genderless_W.webp,3.0,True
66034,T_02223_19_lounge_W.webp,3.0,True
62976,T_02225_19_normcore_W.webp,4.0,True
66634,T_02227_19_normcore_W.webp,3.0,True
56368,T_02230_19_normcore_W.webp,2.0,False
66826,T_02232_19_lounge_W.webp,3.0,True
29728,T_02238_19_normcore_W.webp,3.0,True
62655,T_02239_19_normcore_W.webp,3.0,True
66970,T_02243_19_lounge_W.webp,3.0,True
60666,T_02249_19_genderless_W.webp,3.0,True
66526,T_02251_19_normcore_W.webp,4.0,True
61165,T_02253_19_normcore_W.webp,2.0,False
64950,T_02254_19_normcore_W.webp,2.0,False
61165,T_02255_19_normcore_W.webp,4.0,True
28695,T_02260_19_normcore_W.webp,3.0,True
61165,T_02261_19_normcore_W.webp,3.0,True
67259,T_02263_19_normcore_W.webp,3.0,False
49974,T_02264_19_normcore_W.webp,2.0,False
66577,T_02265_19_normcore_W.webp,4.0,True
66769,T_02267_19_lounge_W.webp,4.0,True
62976,T_02268_19_normcore_W.webp,4.0,True
67259,T_02269_19_normcore_W.webp,3.0,True
67280,T_02270_19_lounge_W.webp,3.0,True
14635,T_02271_19_genderless_W.webp,2.0,False
67259,T_02274_19_normcore_W.webp,2.0,False
67259,T_02278_19_lounge_W.webp,3.0,True
29845,T_02280_19_normcore_W.webp,2.0,True
23193,T_02284_19_normcore_W.webp,3.0,True
63286,T_02287_19_normcore_W.webp,3.0,False
54076,T_02288_19_normcore_W.webp,1.0,False
67476,T_02291_19_normcore_W.webp,1.0,False
66494,T_02292_19_genderless_W.webp,2.0,False
64213,T_02293_19_lounge_W.webp,4.0,True
66501,T_02294_19_genderless_W.webp,1.0,False
67476,T_02295_19_normcore_W.webp,2.0,False
66689,T_02296_19_normcore_W.webp,1.0,False
67491,T_02297_19_normcore_W.webp,3.0,True
67491,T_02299_19_normcore_W.webp,3.0,True
63745,T_02302_19_normcore_W.webp,2.0,False
59972,T_02305_19_normcore_W.webp,3.0,True
67485,T_02307_19_normcore_W.webp,3.0,True
60956,T_02309_19_genderless_W.webp,3.0,True
66534,T_02312_19_normcore_W.webp,3.0,True
62696,T_02314_19_normcore_W.webp,2.0,False
52383,T_02318_19_normcore_W.webp,4.0,True
43083,T_02319_19_genderless_W.webp,2.0,False
64407,T_02327_19_lounge_W.webp,3.0,True
49207,T_02332_19_genderless_W.webp,3.0,True
6627,T_02334_19_normcore_W.webp,3.0,True
61346,T_02335_19_genderless_W.webp,2.0,True
66701,T_02338_19_normcore_W.webp,3.0,True
67485,T_02340_19_normcore_W.webp,3.0,True
66823,T_02345_19_normcore_W.webp,3.0,True
67102,T_02348_19_lounge_W.webp,3.0,True
66164,T_02349_19_lounge_W.webp,3.0,True
66534,T_02351_19_normcore_W.webp,4.0,True
11701,T_02359_19_normcore_W.webp,3.0,True
66788,T_02364_19_normcore_W.webp,2.0,False
66557,T_02365_19_normcore_W.webp,4.0,True
66707,T_02366_19_normcore_W.webp,3.0,True
22220,T_02368_19_genderless_W.webp,4.0,True
61993,T_02370_19_normcore_W.webp,2.0,False
66750,T_02371_19_normcore_W.webp,2.0,False
66511,T_02375_19_genderless_W.webp,4.0,True
66164,T_02376_19_normcore_W.webp,4.0,True
66527,T_02378_19_normcore_W.webp,4.0,True
66164,T_02381_19_normcore_W.webp,3.0,True
66970,T_02382_19_genderless_W.webp,2.0,False
66645,T_02383_19_genderless_W.webp,4.0,True
66846,T_02384_19_normcore_W.webp,3.0,True
66807,T_02385_19_normcore_W.webp,4.0,True
66970,T_02386_19_normcore_W.webp,4.0,True
59995,T_02392_19_normcore_W.webp,3.0,True
26924,T_02393_19_normcore_W.webp,1.0,False
60291,T_02801_19_normcore_W.webp,4.0,True
63764,T_02804_19_normcore_W.webp,3.0,True
66915,T_02807_19_normcore_W.webp,4.0,True
27543,T_02808_19_normcore_W.webp,2.0,True
66970,T_02809_19_normcore_W.webp,2.0,False
64057,T_02812_19_normcore_W.webp,4.0,True
66796,T_02813_19_normcore_W.webp,3.0,True
50093,T_02814_19_normcore_W.webp,2.0,False
66970,T_02816_19_normcore_W.webp,3.0,True
4902,T_02817_19_normcore_W.webp,2.0,False
66906,T_02818_19_normcore_W.webp,4.0,True
4902,T_02823_19_normcore_W.webp,3.0,True
66377,T_02824_19_normcore_W.webp,4.0,True
23097,T_02827_19_lounge_W.webp,3.0,True
62283,T_02830_19_normcore_W.webp,2.0,False
53,T_02835_19_normcore_W.webp,1.0,False
52399,T_02837_19_normcore_W.webp,3.0,True
60973,T_02838_19_genderless_W.webp,1.0,False
62616,T_02839_19_genderless_W.webp,2.0,False
64201,T_02842_19_genderless_W.webp,2.0,False
23097,T_02844_19_normcore_W.webp,2.0,False
64144,T_02845_19_genderless_W.webp,2.0,False
66260,T_02848_19_genderless_W.webp,3.0,True
4902,T_02849_19_lounge_W.webp,3.0,True
67486,T_02850_19_genderless_W.webp,3.0,True
66869,T_02852_19_normcore_W.webp,1.0,False
58631,T_02853_19_genderless_W.webp,3.0,True
67486,T_02857_19_genderless_W.webp,3.0,True
67257,T_02862_19_normcore_W.webp,4.0,True
61165,T_02876_19_normcore_W.webp,1.0,False
61165,T_02883_19_lounge_W.webp,3.0,True
53445,T_02887_19_normcore_W.webp,4.0,True
66377,T_03114_19_normcore_W.webp,4.0,True
61165,T_03172_19_genderless_W.webp,3.0,True
66394,T_03176_19_lounge_W.webp,3.0,True
63380,T_03177_19_genderless_W.webp,4.0,True
65819,T_03179_19_normcore_W.webp,3.0,True
66750,T_03180_19_normcore_W.webp,3.0,True
23193,T_03183_19_normcore_W.webp,4.0,True
61626,T_03186_19_genderless_W.webp,3.0,True
18718,T_03187_19_normcore_W.webp,1.0,False
61165,T_03353_19_normcore_W.webp,3.0,True
54122,T_03355_19_lounge_W.webp,2.0,False
66372,T_03356_19_normcore_W.webp,3.0,True
59252,T_03357_19_normcore_W.webp,2.0,False
61085,T_03359_19_normcore_W.webp,2.0,False
